Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-21,2024-08-22,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-20,2024-08-21,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-19,2024-08-20,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-18,2024-08-19,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-17,2024-08-18,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-16,2024-08-17,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-15,2024-08-16,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-14,2024-08-15,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-13,2024-08-14,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-12,2024-08-13,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-11,2024-08-12,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-10,2024-08-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-09,2024-08-10,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-08,2024-08-09,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-07,2024-08-08,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-06,2024-08-07,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-05,2024-08-06,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-04,2024-08-05,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-03,2024-08-04,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-02,2024-08-03,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-08-01,2024-08-02,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-31,2024-08-01,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-30,2024-07-31,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-29,2024-07-30,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-28,2024-07-29,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-27,2024-07-28,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-26,2024-07-27,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-25,2024-07-26,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-24,2024-07-25,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-23,2024-07-24,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-22,2024-07-23,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-21,2024-07-22,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-20,2024-07-21,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-19,2024-07-20,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-18,2024-07-19,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-17,2024-07-18,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-16,2024-07-17,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-15,2024-07-16,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-14,2024-07-15,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-13,2024-07-14,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-12,2024-07-13,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-11,2024-07-12,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-10,2024-07-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-09,2024-07-10,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-08,2024-07-09,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-07,2024-07-08,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-06,2024-07-07,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-05,2024-07-06,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-04,2024-07-05,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-03,2024-07-04,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-02,2024-07-03,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-07-01,2024-07-02,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-30,2024-07-01,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-29,2024-06-30,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-28,2024-06-29,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-27,2024-06-28,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-26,2024-06-27,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-25,2024-06-26,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-24,2024-06-25,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-23,2024-06-24,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-22,2024-06-23,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-21,2024-06-22,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-20,2024-06-21,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-19,2024-06-20,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-18,2024-06-19,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-17,2024-06-18,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-16,2024-06-17,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-15,2024-06-16,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-14,2024-06-15,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-13,2024-06-14,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-12,2024-06-13,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-11,2024-06-12,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-10,2024-06-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-09,2024-06-10,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
2024-06-08,2024-06-09,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,6.516352942109665e-11,0,0
