Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-21,2024-08-22,1.5728561647525419,2.212133088600914,1.5604367837036905,2.032769956027928,664386.2299651568,40355016.18815331
2024-08-20,2024-08-21,1.5256375672906315,1.5906594421757232,1.5239084596494104,1.5729883321941773,330312.4843205575,37227866.7630662
2024-08-19,2024-08-20,1.533037938898481,1.5585913745752353,1.5192863323235701,1.5249791742479204,332190.28571428574,36606884.773519166
2024-08-18,2024-08-19,1.487166531440626,1.5607604662088723,1.4729444899039532,1.5355644392007526,269746.2055749129,35978171.49477352
2024-08-17,2024-08-18,1.467185217534541,1.498426956214093,1.4595470139588054,1.489994128806523,267044.47386759584,35257693.93728223
2024-08-16,2024-08-17,1.4647631522024152,1.4961549287420863,1.4523716875229895,1.4678432357605307,385843.5540069686,35035571.67944251
2024-08-15,2024-08-16,1.5312808092949999,1.547234909396932,1.4588333607467479,1.4682373355137337,355760.00348432054,36100441.139372826
2024-08-14,2024-08-15,1.5968272176147524,1.5969350473243886,1.529811630248823,1.53159509388676,283750.00696864113,37261437.38327526
2024-08-13,2024-08-14,1.5895683380190664,1.6068711019003794,1.563781125125184,1.5936194688686667,352726.49128919863,37782424.19163763
2024-08-12,2024-08-13,1.5825516763735863,1.601807113949994,1.5475943579255813,1.5891952525616746,490101.4599303136,37570024.317073174
2024-08-11,2024-08-12,1.6190239555706465,1.6602613544243272,1.582297980071354,1.582297980071354,341888.04181184666,38771161.846689895
2024-08-10,2024-08-11,1.5804450109737869,1.619585870166187,1.5804450109737869,1.6172851865510092,435146.28222996515,38215068.30313589
2024-08-09,2024-08-10,1.5768636625966455,1.61126978571566,1.5768636625966455,1.58012324062735,621063.512195122,38013424.205574915
2024-08-08,2024-08-09,1.4882462577266757,1.5777221426230073,1.4804364335598903,1.5772868780759892,547242.5226480836,36320204.773519166
2024-08-07,2024-08-08,1.530046731754422,1.5658593443946862,1.4738689231838757,1.491673856277016,435968.1045296167,36540343.041811846
2024-08-06,2024-08-07,1.5313916140318033,1.5851738471493988,1.5273564688899874,1.5304410351125526,731071.787456446,37241357.29268292
2024-08-05,2024-08-06,1.6183543610391626,1.6183543610391626,1.4274834173312307,1.531571650422837,759141.2891986063,35755790
2024-08-04,2024-08-05,1.7176111633996645,1.726041100714022,1.6180462417790924,1.6180462417790924,360468.49477351917,40204429.271777004
2024-08-03,2024-08-04,1.769634638382087,1.769634638382087,1.6915455550959206,1.7174092899356432,461131.606271777,41053217.048780486
