Start,End,Open,High,Low,Close,Volume,Market Cap
2025-08-14,2025-08-15,0.9998,0.9999,0.9997,0.9998,36751818292.12892,67112693551.60627
2025-08-13,2025-08-14,0.9998,0.9999,0.9997,0.9998,31574728155.229965,66388009531.83972
2025-08-12,2025-08-13,0.9997,0.9998,0.9997,0.9998,26499734109.222996,65636987037.89547
2025-08-11,2025-08-12,0.9997,0.9998,0.9997,0.9998,22508766305.320557,65165724701.27875
2025-08-10,2025-08-11,0.9998,0.9998,0.9996,0.9998,17990706221.08014,65256144334.36585
2025-08-09,2025-08-10,0.9997,0.9998,0.9996,0.9998,18977592840.55749,65300624589.33101
2025-08-08,2025-08-09,0.9997,0.9998,0.9995,0.9997,22194606033.01742,64772871756.20906
2025-08-07,2025-08-08,0.9997,0.9998,0.9995,0.9997,16900010101.881533,64657249334.79791
2025-08-06,2025-08-07,0.9997,0.9998,0.9997,0.9997,17325274774.132404,64584265098.53658
2025-08-05,2025-08-06,0.9998,0.9998,0.9996,0.9998,17603491646.641113,64382986562.58885
2025-08-04,2025-08-05,0.9997,0.9998,0.9996,0.9997,13364446058.41115,64184623108.547035
2025-08-03,2025-08-04,0.9996,1.0000190176942143,0.9995,0.9997,13276544176.630663,64183525965.20209
2025-08-02,2025-08-03,0.9998,0.9998,0.9996,0.9997,20898327980.877193,64225662198.45263
2025-08-01,2025-08-02,0.9997,0.9999,0.9991,0.9997,24471542780.672474,64026361496.362366
2025-07-31,2025-08-01,0.9998,0.9998,0.9995,0.9997,19183866105.5331,63965783807.223
2025-07-30,2025-07-31,0.9998,0.9999,0.9997,0.9998,17826704827.480835,63809708741.47038
2025-07-29,2025-07-30,0.9998,0.9999,0.9997,0.9998,19700696589.299652,63839599983.9338
2025-07-28,2025-07-29,0.9998,0.9999,0.9997,0.9997,18177069143.951218,64226198607.940765
2025-07-27,2025-07-28,0.9998,0.9999,0.9997,0.9998,12058704991.09756,64277772320.271774
2025-07-26,2025-07-27,0.9999,0.9999,0.9997,0.9997,17675037208.313587,64158629510.13589
