Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-21,2024-08-22,2589.8817,2660.4799,2525.1561,2630.1239,174957921.60278746,0
2024-08-20,2024-08-21,2624.2759,2716.4964,2505.0842,2598.9614,175146867.3205575,0
2024-08-19,2024-08-20,2578.3273,2665.1289,2507.4918,2609.0686,124285504.74912892,0
2024-08-18,2024-08-19,2604.0359,2723.9946,2569.6352,2602.9628,129165765.77700348,0
2024-08-17,2024-08-18,2550.2133,2717.2102,2526.988,2608.158,151466259.5296167,0
2024-08-16,2024-08-17,2548.6232,2634.5821,2516.8057,2551.5523,236103813.05923346,0
2024-08-15,2024-08-16,2661.7959,2756.5553,2491.9021,2558.6245,177288247.5226481,0
2024-08-14,2024-08-15,2680.6025,2781.7916,2610.8266,2662.7675,143601190.83623692,0
2024-08-13,2024-08-14,2698.9955,2792.2414,2605.8667,2678.628,150959151.6097561,0
2024-08-12,2024-08-13,2551.5223,2738.8497,2508.7517,2707.9101,174349832.90592334,0
2024-08-11,2024-08-12,2605.5589,2679.645,2527.7668,2548.1293,114490973.94773519,0
2024-08-10,2024-08-11,2613.6111,2652.0349,2582.8328,2605.1471,131492315.57839721,0
2024-08-09,2024-08-10,2686.707,2731.8809,2563.1964,2613.9777,205162102.12891987,0
2024-08-08,2024-08-09,2355.6678,2714.7994,2324.8136,2689.7733,191069313.92682928,0
2024-08-07,2024-08-08,2456.5545,2591.7756,2330.4812,2355.9055,214006093.87456447,0
2024-08-06,2024-08-07,2416.6519,2597.4032,2416.6519,2447.6236,321445942.0069686,0
2024-08-05,2024-08-06,2686.9343,2686.9343,2114.7446,2417.6158,425200097.31358886,0
2024-08-04,2024-08-05,2930.0171,2946.8478,2693.4906,2693.4906,184510673.9512195,0
2024-08-03,2024-08-04,2996.381,3027.7339,2879.6872,2936.6953,394142782.2055749,0
2024-08-02,2024-08-03,3204.4841,3222.3338,2968.797,2992.9271,356947217.29965156,0
2024-08-01,2024-08-02,3159.7341,3250.8631,3083.7235,3208.2385,171631934.80836236,0
2024-07-31,2024-08-01,3298.1057,3365.2585,3143.7447,3155.7831,186747661.184669,0
2024-07-30,2024-07-31,3324.8934,3407.0417,3240.3464,3301.1446,191703674.4599303,0
2024-07-29,2024-07-30,3261.3349,3451.1745,3254.0936,3325.7996,161304446.2055749,0
2024-07-28,2024-07-29,3226.5746,3384.7633,3201.1201,3276.5161,135994845.10801393,0
2024-07-27,2024-07-28,3272.2669,3344.0042,3254.266,3282.6197,244810188.5783972,0
2024-07-26,2024-07-27,3173.6323,3294.6355,3173.6323,3268.9402,240762601.98954704,0
2024-07-25,2024-07-26,3358.1496,3366.1871,3073.1191,3173.0629,212127434.5749129,0
2024-07-24,2024-07-25,3484.2946,3507.4108,3319.0521,3355.4147,194210868.97212544,0
2024-07-23,2024-07-24,3445.2813,3583.0155,3408.5707,3499.0886,219161361.12891987,0
2024-07-22,2024-07-23,3530.1385,3551.8184,3412.1542,3449.0614,236109667.6245614,0
2024-07-21,2024-07-22,3529.6047,3621.5981,3386.9066,3519.3063,494929923.90592337,0
2024-07-20,2024-07-21,3492.1308,3569.3869,3415.7302,3520.8352,6200352401.763066,0
2024-07-19,2024-07-20,3459.7544,3574.0116,3340.0429,3497.4827,277914387.4320558,0
2024-07-18,2024-07-19,3536.1831,3615.1587,3286.0929,3427.7793,289785652.8501742,0
2024-07-17,2024-07-18,3439.5205,3729.0169,3263.9434,3510.4236,293094867.1080139,0
2024-07-16,2024-07-17,3499.5315,3526.3651,3323.6155,3445.094,300870769.92334497,0
2024-07-15,2024-07-16,3241.0212,3499.9716,3228.5671,3498.4422,211524496.64808363,0
2024-07-14,2024-07-15,3172.8219,3313.4781,3125.8663,3253.5503,194486612.51567945,0
2024-07-13,2024-07-14,3109.7683,3177.3912,3104.596,3151.3034,145873722.68641114,0
2024-07-12,2024-07-13,3102.8201,3163.8377,3039.9962,3104.5518,167567422.7247387,0
2024-07-11,2024-07-12,3104.1169,3238.5865,3060.9599,3099.5891,191140853.1048951,0
